City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Avarua,CK,80.6,few clouds,-21.2078,-159.775,Paradise Inn
11,Sao Jose Da Coroa Grande,BR,77.99,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
12,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
13,Bubaque,GW,77.2,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
20,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
22,Kavieng,PG,84.27,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
26,Harper,LR,75.63,overcast clouds,4.375,-7.7169,Screensaver
29,Butaritari,KI,83.17,few clouds,3.0707,172.7902,Isles Sunset Lodge
33,Saint-Leu,RE,78.8,clear sky,-21.15,55.2833,La Caz Oceane
34,Padang,ID,87.8,scattered clouds,-0.9492,100.3543,Mercure Padang
37,Hithadhoo,MV,82.6,broken clouds,-0.6,73.0833,Scoop Guest House
41,Rikitea,PF,77.88,scattered clouds,-23.1203,-134.9692,Pension Maro'i
49,Makakilo City,US,80.01,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
53,Corn Island,NI,80.58,clear sky,12.1694,-83.0418,Big Fish Guest House
57,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
63,Port Blair,IN,86.79,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
64,Tautira,PF,82.0,light rain,-17.7333,-149.15,Pension Oaoa
68,Talaja,IN,87.8,smoke,21.35,72.05,Velvettas Resorts
70,Sadat,IN,89.6,haze,25.6833,83.2833,Tuntun Niwas
78,Manaus,BR,80.6,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
80,Busselton,AU,77.0,overcast clouds,-33.65,115.3333,Observatory Guest House
84,Cafe,PH,87.8,broken clouds,15.3369,120.7062,RVK Inn And Resort
86,Georgetown,MY,87.8,scattered clouds,5.4112,100.3354,Cititel Penang
92,Esperance,AU,84.2,scattered clouds,-33.8667,121.9,Hospitality Esperance
93,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
97,Victoria,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
104,Morondava,MG,75.11,overcast clouds,-20.2833,44.2833,La Case Bambou
105,Cam Ranh,VN,87.8,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
113,Iquitos,PE,78.8,clear sky,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
114,Rameswaram,IN,84.29,few clouds,9.2833,79.3,Daiwik Hotels Rameswaram
117,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
118,Sabya,SA,87.8,scattered clouds,17.1495,42.6254,Aseel Hotel Apartment
120,Atuona,PF,79.84,light rain,-9.8,-139.0333,Villa Enata
122,Khandbari,NP,88.61,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
128,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
139,Ipixuna,BR,77.0,light rain,-1.7625,-48.8043,Casa da Oscarina
140,Bilma,NE,84.6,clear sky,18.6853,12.9164,Expeditions Ténére voyages
161,Axim,GH,79.92,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
162,Wanning,CN,84.31,light rain,18.8003,110.3967,Paradise Hotel
163,Natal,BR,78.8,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
164,Kismayo,SO,83.25,broken clouds,-0.3582,42.5454,Agan-Hotel
