City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,44.6,93,90,5.75,light rain
1,Hobart,AU,-42.8794,147.3294,66.2,45,40,18.41,scattered clouds
2,Ushuaia,AR,-54.8,-68.3,46.4,76,75,12.66,broken clouds
3,Baykit,RU,61.67,96.37,36.16,61,64,4.74,broken clouds
4,Ponta Delgada,PT,37.7333,-25.6667,57.2,88,75,8.05,broken clouds
5,Avarua,CK,-21.2078,-159.775,80.6,78,20,5.75,few clouds
6,Zhanaozen,KZ,43.3,52.8,67.77,35,19,10.16,few clouds
7,Barrow,US,71.2906,-156.7887,21.2,79,1,11.5,clear sky
8,Virginia Beach,US,36.8529,-75.978,57.99,54,1,5.75,clear sky
9,Ulladulla,AU,-35.35,150.4667,71.6,37,0,4.61,clear sky
10,Richards Bay,ZA,-28.783,32.0377,63.63,91,2,4.14,clear sky
11,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.99,82,43,7.34,scattered clouds
12,Kapaa,US,22.0752,-159.319,75.2,73,40,13.8,light rain
13,Bubaque,GW,11.2833,-15.8333,77.2,68,22,11.41,few clouds
14,Beisfjord,NO,68.3751,17.5988,32.0,86,75,1.14,light snow
15,Gussago,IT,45.5836,10.1572,59.0,67,0,1.74,clear sky
16,Santiago Del Estero,AR,-27.7951,-64.2615,59.86,67,0,6.4,clear sky
17,Hermanus,ZA,-34.4187,19.2345,60.01,92,1,7.0,clear sky
18,Katsuura,JP,35.1333,140.3,63.0,25,20,17.27,few clouds
19,San Francisco,US,37.7749,-122.4194,53.6,71,40,9.22,scattered clouds
20,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,13.8,light rain
21,Bathsheba,BB,13.2167,-59.5167,78.8,61,40,14.97,scattered clouds
22,Kavieng,PG,-2.5744,150.7967,84.27,66,95,3.2,overcast clouds
23,Dzhebariki-Khaya,RU,62.2167,135.8,33.06,94,100,6.24,light snow
24,Fairbanks,US,64.8378,-147.7164,64.4,20,1,4.61,clear sky
25,Sobolevo,RU,54.4299,31.8996,31.78,77,11,7.56,few clouds
26,Harper,LR,4.375,-7.7169,75.63,88,98,4.47,overcast clouds
27,Kruisfontein,ZA,-34.0033,24.7314,64.15,57,100,2.91,overcast clouds
28,Fortuna,US,40.5982,-124.1573,50.0,93,90,2.51,overcast clouds
29,Butaritari,KI,3.0707,172.7902,83.17,73,16,11.52,few clouds
30,Jamestown,US,42.097,-79.2353,33.01,80,1,8.05,clear sky
31,Mataura,NZ,-46.1927,168.8643,48.0,70,98,20.0,overcast clouds
32,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.4,100,90,11.18,overcast clouds
33,Saint-Leu,RE,-21.15,55.2833,78.8,69,0,18.41,clear sky
34,Padang,ID,-0.9492,100.3543,87.8,66,40,5.75,scattered clouds
35,Port Elizabeth,ZA,-33.918,25.5701,59.0,88,0,2.3,clear sky
36,Qaanaaq,GL,77.484,-69.3632,28.04,63,8,9.17,clear sky
37,Hithadhoo,MV,-0.6,73.0833,82.6,67,63,4.47,broken clouds
38,Faya,SA,18.3851,42.4509,62.6,63,40,6.51,scattered clouds
39,Sitka,US,57.0531,-135.33,55.4,50,1,3.44,clear sky
40,Hofn,IS,64.2539,-15.2082,42.75,69,10,13.38,clear sky
41,Rikitea,PF,-23.1203,-134.9692,77.88,74,28,4.79,scattered clouds
42,Nyrob,RU,60.733,56.7202,36.63,90,100,7.94,overcast clouds
43,Namibe,AO,-15.1961,12.1522,74.82,70,0,9.24,clear sky
44,Great Yarmouth,GB,52.6083,1.7305,42.8,61,90,5.75,overcast clouds
45,Carnarvon,AU,-24.8667,113.6333,93.2,18,0,5.75,clear sky
46,Sao Filipe,CV,14.8961,-24.4956,71.98,70,99,8.77,overcast clouds
47,Salinas,US,36.6777,-121.6555,55.4,71,90,8.05,overcast clouds
48,Haines Junction,CA,60.7522,-137.5108,46.4,34,0,4.61,clear sky
49,Makakilo City,US,21.3469,-158.0858,80.01,57,20,9.22,few clouds
50,Buraydah,SA,26.326,43.975,73.4,53,20,4.61,few clouds
51,Hilo,US,19.7297,-155.09,73.4,83,90,6.91,moderate rain
52,Mar Del Plata,AR,-38.0023,-57.5575,60.01,88,75,7.85,broken clouds
53,Corn Island,NI,12.1694,-83.0418,80.58,77,5,12.35,clear sky
54,Skibbereen,IE,51.55,-9.2667,42.8,75,20,9.22,few clouds
55,Batagay-Alyta,RU,67.8006,130.4114,30.07,89,100,4.16,overcast clouds
56,Leirvik,NO,59.7798,5.5005,39.99,70,75,2.3,broken clouds
57,Mahebourg,MU,-20.4081,57.7,77.0,88,75,14.97,light rain
58,Comodoro Rivadavia,AR,-45.8667,-67.5,53.6,71,0,4.61,clear sky
59,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,79,90,12.66,snow
60,Nikolskoye,RU,59.7035,30.7861,39.0,87,90,11.18,overcast clouds
61,Thompson,CA,55.7435,-97.8558,30.2,93,90,3.44,light snow
62,Havoysund,NO,70.9963,24.6622,32.0,86,75,5.75,light snow
63,Port Blair,IN,11.6667,92.75,86.79,57,77,4.18,broken clouds
64,Tautira,PF,-17.7333,-149.15,82.0,74,20,6.91,light rain
65,Lebu,CL,-37.6167,-73.65,54.14,93,24,9.82,few clouds
66,Bluff,NZ,-46.6,168.3333,48.0,70,84,20.0,broken clouds
67,Half Moon Bay,US,37.4636,-122.4286,51.8,93,20,3.44,few clouds
68,Talaja,IN,21.35,72.05,87.8,30,40,3.44,smoke
69,Ponta Do Sol,PT,32.6667,-17.1,59.0,84,45,5.01,scattered clouds
70,Sadat,IN,25.6833,83.2833,89.6,35,63,3.44,haze
71,Lagoa,PT,39.05,-27.9833,58.8,85,100,10.63,overcast clouds
72,Husavik,IS,66.0449,-17.3389,35.6,87,75,8.05,broken clouds
73,Havelock,US,34.8791,-76.9013,55.99,93,75,3.58,broken clouds
74,Port Alfred,ZA,-33.5906,26.891,71.19,44,93,7.58,overcast clouds
75,Anadyr,RU,64.75,177.4833,26.6,93,75,2.82,fog
76,Coquimbo,CL,-29.9533,-71.3436,53.6,87,0,2.3,clear sky
77,Batsfjord,NO,70.6345,29.7185,28.4,74,75,10.36,broken clouds
78,Manaus,BR,-3.1019,-60.025,80.6,89,0,3.44,clear sky
79,Albany,US,42.6001,-73.9662,44.01,51,54,14.0,broken clouds
80,Busselton,AU,-33.65,115.3333,77.0,48,99,4.0,overcast clouds
81,Constantine,DZ,36.365,6.6147,53.6,71,0,5.75,clear sky
82,Paranaiba,BR,-19.6772,-51.1908,67.42,55,52,6.04,broken clouds
83,Bredasdorp,ZA,-34.5322,20.0403,51.8,93,93,2.3,overcast clouds
84,Cafe,PH,15.3369,120.7062,87.8,58,75,9.22,broken clouds
85,Ancud,CL,-41.8697,-73.8203,52.0,100,90,5.75,fog
86,Georgetown,MY,5.4112,100.3354,87.8,70,40,2.3,scattered clouds
87,Iqaluit,CA,63.7506,-68.5145,32.0,93,90,3.44,light snow
88,Pismo Beach,US,35.1428,-120.6413,51.8,87,90,4.61,overcast clouds
89,Egvekinot,RU,66.3167,-179.1667,29.05,89,15,0.43,few clouds
90,Ostrovnoy,RU,68.0531,39.5131,31.37,94,100,22.91,light snow
91,Saskylakh,RU,71.9167,114.0833,14.68,90,100,21.54,overcast clouds
92,Esperance,AU,-33.8667,121.9,84.2,21,36,14.97,scattered clouds
93,Yulara,AU,-25.2406,130.9889,75.2,23,0,14.97,clear sky
94,Hvolsvollur,IS,63.7533,-20.2243,40.08,79,3,5.48,clear sky
95,Gat,IL,31.61,34.7642,66.99,100,17,13.62,few clouds
96,Kozulka,UA,50.0351,23.797,30.2,93,8,2.24,clear sky
97,Victoria,HK,22.2855,114.1577,75.0,78,100,3.0,overcast clouds
98,Puerto Ayora,EC,-0.7393,-90.3518,74.73,87,4,6.85,clear sky
99,Humaita,BR,-7.5061,-63.0208,74.19,97,89,2.53,overcast clouds
100,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.65,98,99,1.28,overcast clouds
101,Inhambupe,BR,-11.7844,-38.3531,70.88,97,96,4.07,overcast clouds
102,Fengcheng,CN,40.4536,124.0717,68.18,26,100,11.59,overcast clouds
103,Tygda,RU,53.1167,126.3333,62.42,23,100,8.66,overcast clouds
104,Morondava,MG,-20.2833,44.2833,75.11,75,100,5.53,overcast clouds
105,Cam Ranh,VN,11.9214,109.1591,87.8,66,20,8.05,few clouds
106,Longyearbyen,SJ,78.2186,15.6401,14.0,67,20,1.14,few clouds
107,Yellowknife,CA,62.456,-114.3525,8.6,78,90,12.66,light snow
108,Torbay,CA,47.6666,-52.7314,39.99,70,1,5.75,clear sky
